1772580516.197845 client started (25467): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1772580516.197857 on Linux 6.17.9-76061709-generic #202511241048~1764607909~24.04~df6b2b6 SMP PREEMPT_DYNAMIC Mon D
1772580516.199008 sending message 105 to peer 0x7aa63e2a89d0 (493 bytes)
1772580516.199010 sending message 105 to peer 0x7aa63e2a89d0 (412 bytes)
1772580516.199016 sending message 105 to peer 0x7aa63e2a89d0 (35 bytes)
1772580516.199024 sending message 105 to peer 0x7aa63e2a89d0 (79 bytes)
1772580516.199026 sending message 105 to peer 0x7aa63e2a89d0 (37 bytes)
1772580516.199028 sending message 105 to peer 0x7aa63e2a89d0 (24 bytes)
1772580516.199030 sending message 106 to peer 0x7aa63e2a89d0 (0 bytes)
1772580516.199076 sending message 200 to peer 0x7aa63e2a89d0 (4 bytes)
1772580516.199078 client loop enter
1772580516.199086 client_signal: Child process status
1772580516.241910 peer 0x7aa63e2a89d0 message 207
1772580516.241928 sending message 208 to peer 0x7aa63e2a89d0 (0 bytes)
1772580580.357253 peer 0x7aa63e2a89d0 message 201
1772580580.357285 sending message 205 to peer 0x7aa63e2a89d0 (0 bytes)
1772580580.357797 peer 0x7aa63e2a89d0 message 204
1772580580.357822 client loop exit
